ID,Gender,Age,Height,Weight,Body Shape,bkgApose,nobkgApose,bkgStandardPose,nobkgStandardPose,bkgTpose,nobkgTpose,bkgFreePose,nobkgFreePose,MidNeckCircumference,NeckCircumference1,ShoulderWidth,SleeveCircumference,ArmLength-1,BicepsCircumference,WristCircumference,BreastCircumference,UpperBreastCircumference,LowerBreastCircumference,WaistCircumference1,AbodomenCircumference,CoxaCircumference,HipCircumference,ThighCircumference,CalfCircumference,LegLength-1,FrontNeck2HipLength-1,BackNeck2HipLength-1,NeckCircumference-2,ArmLength-2,WaistCircumference-2,LegLength-2,FrontNeck2HipLength-2,BackNeck2HipLength-2,HeightOfChest,DistanceOfChest,NapeToWaist,Knee circumference,WidthOfBack,Coxa2HipBottom,UpperHipCircumference
1,male,51,172.5,82.8,NaN,2161-0001_1.png,2083-0001_1.png,NaN,NaN,NaN,NaN,NaN,NaN,42,50,48,55,55,32,19,106,107,NaN,99,102,103,109,59,41,100,66,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,male,57,181.5,71.5,NaN,2162-0002_1.png,2084-0002_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38.5,44.5,51,54,53,30,16,96,98,NaN,92.5,92,95.5,93.5,52.5,34.5,106,73,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,male,54,171,72.6,NaN,2163-0003_2.png,2085-0003_2.png,NaN,NaN,NaN,NaN,NaN,NaN,40,44,46,51,55,33,18,99,101,NaN,93,90.5,91,95,53,40,97,70,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,male,55,165,60.5,NaN,2164-0004_2.png,2086-0004_2.png,NaN,NaN,NaN,NaN,NaN,NaN,37,40.5,44,48,54.5,29,16,94,93,NaN,87,88,85.5,91,49.5,38.5,94,70,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,male,53,185,94.1,NaN,2165-0005_2.png,2087-0005_2.png,NaN,NaN,NaN,NaN,NaN,NaN,42.8,46,50,62.4,66,36.5,19,105.2,110,NaN,97.4,102.2,106.8,104.5,59,42,107,77,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,male,47,186,81.1,NaN,2166-0006_1.png,2088-0006_1.png,NaN,NaN,NaN,NaN,NaN,NaN,39,43,49,49,62.2,30.5,18.5,97.2,101.2,NaN,84.5,92.8,99,101,56.8,38,109,74,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,male,57,168,65.5,NaN,2167-0007_1.png,2089-0007_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35,42.5,46,45.5,56.8,28.5,16.8,90,91.8,NaN,83.5,87,92,94,48,37,95.2,68,56.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,male,51,176,62,NaN,2168-0008_1.png,2090-0008_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35.5,42.8,44,51,61,27,17,86.5,90,NaN,80,82,89,89.2,51.2,35,103.2,71.2,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,male,48,165.5,68.3,NaN,2169-0009_1.png,2091-0009_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,43,44,58,52,33,18,94,94.5,NaN,87,92,92,100,56.5,39.5,94,64,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,male,48,169,64.7,NaN,2170-0010_1.png,2092-0010_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36.5,42,46,50,56.5,31,16.5,94,99.5,NaN,84,92,91.5,96,52.5,40,96,71,66.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,male,51,164,60,NaN,2171-0011_1.png,2093-0011_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35.5,40.5,44,49,54.5,30,15,91,92.5,NaN,86.5,88,91,90.5,52,35,96,65,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,male,56,164.5,67.5,NaN,2172-0012_1.png,2094-0012_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,41,47,49,51,31,18,89,92,NaN,86,87,95,97,52,40,95,69,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,male,53,172.5,88.5,NaN,2173-0013_4.png,2095-0013_4.png,NaN,NaN,NaN,NaN,NaN,NaN,40.2,43.8,46,58.5,61.2,35.9,18,107,107.9,NaN,99,99,97.5,100.9,55.5,42.7,96.5,70.4,69.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,male,56,179,67,NaN,2174-0014_1.png,2096-0014_1.png,NaN,NaN,NaN,NaN,NaN,NaN,40,45,48,46,55,30,18.5,95,97,NaN,88,87,91,96.5,56,35,102,69,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,male,54,176,71.7,NaN,2175-0015_1.png,2097-0015_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,43,47,54,58,31,19,95.5,97,NaN,91,97,94,97.5,58,39.5,104,68,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,male,53,186,71.9,NaN,2176-0016_1.png,2098-0016_1.png,NaN,NaN,NaN,NaN,NaN,NaN,37.5,43.4,47,47.5,65,26.7,17.5,93.8,98,NaN,89,90,94.2,95.4,49.1,34.3,102.4,75.4,71.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,female,43,158.5,57.9,rectangle,2177-0018_1.png,2099-0018_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,41,42,42,48,28,15,94,92,89.5,80.5,83,97,96.5,59,35,96,63,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,female,45,164.5,62,rectangle,2178-0019_1.png,2100-0019_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,41,42.5,42.5,54,29,15.5,93,92,80,80,90.5,95,96,52,38,98,70,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,male,56,170,82,NaN,2179-0020_2.png,2101-0020_2.png,NaN,NaN,NaN,NaN,NaN,NaN,38.5,43.5,48.5,53,58,34,18,101,105.5,NaN,97,101,103.5,101.5,57.5,44,95,72,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,male,55,186,100.1,NaN,2180-0021_1.jpg,2102-0021_1.png,NaN,NaN,NaN,NaN,NaN,NaN,42.5,46,50,64,61,35,21,113,112,NaN,108,106,108,111,62,45,111,68,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,male,54,165.5,61.6,NaN,2181-0022_1.png,2103-0022_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,42,44,53,54,30,20,95,95,NaN,93,95.5,94,99.5,56,37.5,95,60,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
22,male,48,174,81,NaN,2182-0024_4.png,2104-0024_4.png,NaN,NaN,NaN,NaN,NaN,NaN,40.5,47,49,62,57,36.5,18.5,99,97,NaN,92,94,96.5,101,59.5,40,102,68,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
23,male,46,189.5,81.4,NaN,2183-0025_1.png,2105-0025_1.png,NaN,NaN,NaN,NaN,NaN,NaN,39,41,45,53,63,32,20,96.5,96.5,NaN,90,98.5,101,104,59,42,109,72,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
24,male,50,172.5,86,NaN,2184-0026_1.png,2106-0026_1.png,NaN,NaN,NaN,NaN,NaN,NaN,41,46,50,58.5,56,34,20,104,105,NaN,99,99,95,102,60,40,102,72,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,male,54,172.5,74,NaN,2185-0027_1.png,2107-0027_1.png,NaN,NaN,NaN,NaN,NaN,NaN,39.5,43,46,52.5,55,30,17,98,99.5,NaN,89.5,95,96.5,101,52,38,99,70,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,male,54,184.5,66.65,NaN,2186-0028_1.png,2108-0028_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36,38,44,51,64.5,28.2,17,93,95,NaN,86.5,90.5,93.2,92.2,47.5,34,110.5,70,67.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
27,male,55,176.5,58.5,NaN,2187-0029_1.png,2109-0029_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,42,48,47,57,26,19,84,86,NaN,76,83,90,92,49,33.5,99,67,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
28,male,54,162,61.35,NaN,2188-0030_2.png,2110-0030_2.png,NaN,NaN,NaN,NaN,NaN,NaN,39,42,47,52,51.5,30,18,90.5,91.5,NaN,85.5,89,91,94,51,34,93,59,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,male,53,157,50.2,NaN,2189-0031_1.png,2111-0031_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,37,41,45.5,54.5,26,16.5,78.5,84.5,NaN,69,68.5,81.5,86,48,37,97,65.5,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,male,49,161,53.15,NaN,2190-0032_2.png,2112-0032_2.png,NaN,NaN,NaN,NaN,NaN,NaN,33.9,42,43.3,51,53.3,30,14.8,88,89,NaN,81.7,76,83.4,92.8,49.5,34,97,51.5,50.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31,male,53,169.5,76,NaN,2191-0033_1.png,2113-0033_1.png,NaN,NaN,NaN,NaN,NaN,NaN,39,43,47,54,54,33,20,95,97,NaN,91.5,98,98,105,62,41.5,98,65,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,male,55,164,65.05,NaN,2192-0034_3.png,2114-0034_3.png,NaN,NaN,NaN,NaN,NaN,NaN,37.8,41.2,45,48.8,56,29.5,17,96.8,96,NaN,91,90,87,92,52,36.5,91.2,70.5,64.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
33,male,58,165,62.2,NaN,2193-0035_2.png,2115-0035_2.png,NaN,NaN,NaN,NaN,NaN,NaN,37,45,41,54,53,32,16.5,92,93,NaN,86,87,91,94,53,35,98,60,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
34,male,55,177.5,77.4,NaN,2194-0036_2.png,2116-0036_2.png,NaN,NaN,NaN,NaN,NaN,NaN,40,44,50,58,58,34,20,98,101,NaN,93,96,103,102,59,38,103,68,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,male,52,167.5,67.8,NaN,2195-0037_1.png,2117-0037_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38,40,45,50,57.2,29.5,17.2,95.5,98,NaN,87.3,90,92.5,95.5,49.5,35.3,91.8,65.3,65.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
36,male,47,165.5,72.5,NaN,2196-0038_2.png,2118-0038_2.png,NaN,NaN,NaN,NaN,NaN,NaN,39,44,48,52,50,32,17.5,99,99.5,NaN,92.5,96,103,100,53.5,38,94.5,71,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
37,male,56,168.5,71.1,NaN,2197-0039_3.png,2119-0039_3.png,NaN,NaN,NaN,NaN,NaN,NaN,38,40,46,51.2,61,34,17,98,100.5,NaN,92.5,96,96.5,97.5,50,35.5,91.7,68.5,65.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
38,male,55,165.5,60.5,NaN,2198-0040_1.png,2120-0040_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36,40,43,50,49,30,19,90,91,NaN,85,86,90,92,50,33.5,97,62,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
39,male,54,160,60,NaN,2199-0041_2.png,2121-0041_2.png,NaN,NaN,NaN,NaN,NaN,NaN,37,41,43,48.2,52.8,29,17,89,91,NaN,85,87,86,90,55,37,90.4,64.8,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,male,56,166.5,67.5,NaN,2200-0042_1.png,2122-0042_1.png,NaN,NaN,NaN,NaN,NaN,NaN,42,46,46,54,56,32,20,91,95,NaN,88,90,93,95,55,37,97,66,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
41,female,47,160,57,triangle,2201-0043_1.png,2123-0043_1.png,NaN,NaN,NaN,NaN,NaN,NaN,33,39,44,46,52,30,17,89,85.5,85.6,80,85.5,91.5,94,58,34.5,94,63,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
42,female,40,158.5,60.8,triangle,2202-0044_2.png,2124-0044_2.png,NaN,NaN,NaN,NaN,NaN,NaN,33.5,39,45,46,50,30.5,14.5,94,89.5,81,81,86,96,99,55.5,36,95,69,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43,female,43,156,58,rectangle,2203-0047_1.jpg,2125-0047_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35,41,41,46,50,31,17.5,93,92,87,80,86,94,95,59,35,94,62,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44,female,46,161,60.6,triangle,2204-0048_1.jpg,2126-0048_1.png,NaN,NaN,NaN,NaN,NaN,NaN,32,37,42.5,39.5,51.5,29,17,90.5,87,80,78,83,90,99,55,37.5,96,58,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,male,46,161,57.1,NaN,2205-0049_1.jpg,2127-0049_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35,40,43.5,42,53,30,16,82.5,87,NaN,79,82,90,94.5,48.5,35.5,93,58,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,female,50,159,48,triangle,2206-0050_1.jpg,2128-0050_1.png,NaN,NaN,NaN,NaN,NaN,NaN,33,36,43,43,52,27,15,83,81,79,72,78,86,88,49,33,92,60,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,female,49,160,63.2,rectangle,2207-0052_1.jpg,2129-0052_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34.5,39,45,48,50,30,14.5,95,89,88,83,90,94,98,57,38,94,64,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,female,44,169,70,triangle,2208-0053_1.jpg,2130-0053_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34.5,40,47,46,52,28,17,98,90,86,83,87,100,104,64,37,100,67,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,male,58,170,70.5,NaN,2209-0054_1.jpg,2131-0054_1.png,NaN,NaN,NaN,NaN,NaN,NaN,38.5,45,46,48,56,31,18,95,94.5,NaN,84,83,91,94,57,38,102,60,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,male,48,177,106,NaN,2210-0055_1.jpg,2132-0055_1.png,NaN,NaN,NaN,NaN,NaN,NaN,46,50,53,56,51,41,20,111,113,NaN,117,120,128,117,58,43,99,71,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,female,46,158,65,rectangle,2211-0057_1.jpg,2133-0057_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,38,44,47.5,52,34,19.5,100,98,94,87,93,98,100,61,38,91,64,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,female,54,150,48.8,triangle,2212-0058_1.jpg,2134-0058_1.png,NaN,NaN,NaN,NaN,NaN,NaN,32,37,41,43,48,26,17,84,82,77,71.5,84,91,92,58,35.5,90,55,53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,female,41,153,63.2,hourglass,2213-0060_1.jpg,2135-0060_1.png,NaN,NaN,NaN,NaN,NaN,NaN,34,37,37,45,48,30,17.5,93,88,85,74,79,93,102,63,40,91,60,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,female,34,158,85,triangle,2214-0074_1.jpg,2136-0074_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36,41,47,49,49,38,20,103,98.5,98,93,94,112,119,73.5,46,90,63,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,female,39,165,48.4,hourglass,2215-0075_1.jpg,2137-0075_1.png,NaN,NaN,NaN,NaN,NaN,NaN,32,37,40,38.5,51,24,16,85,81,76,64,72.5,81,87,50,35,97,59,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,female,48,184,64.8,triangle,2216-0076_1.png,2138-0076_1.png,NaN,NaN,NaN,NaN,NaN,NaN,33,40.5,46,44,60,26.5,16.5,86,87,78,76.5,81,95,98,54.5,35.5,109,78,74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,female,43,165.5,94.25,rectangle,2217-0077_1.png,2139-0077_1.png,NaN,NaN,NaN,NaN,NaN,NaN,42.5,50.7,51,54,50,38,19.5,119,108.5,111.5,104,110,114,115,68.5,47,98,68,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,female,46,161,63,rectangle,2218-0078_1.png,2140-0078_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36,39,46,51,50,33,18,98,93,90,82,87,98,100,59,37,96,65,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,female,43,147,47.95,hourglass,2219-0079_1.png,2141-0079_1.png,NaN,NaN,NaN,NaN,NaN,NaN,31,39,40,43,47,28,15,88,84,85,67,73,82,91,56,34,90,59,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,female,48,154.5,51.3,triangle,2220-0080_2.png,2142-0080_2.png,NaN,NaN,NaN,NaN,NaN,NaN,32,36,41,46,52,28,16,85,86,80,73,82,86,96,50,36,90,60,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,female,46,150.4,58.4,rectangle,2221-0081_2.png,2143-0081_2.png,NaN,NaN,NaN,NaN,NaN,NaN,33,39.5,44,49,50,31,18,95,91,92,86,88,91,97,57,35,92,57,52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,male,52,169,57.35,NaN,2222-0082_2.png,2144-0082_2.png,NaN,NaN,NaN,NaN,NaN,NaN,35,39,43,50,60,29,20,87,92,NaN,80,86,91,93,48,37,95,68,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,female,47,159.5,64.8,rectangle,2223-0083_2.png,2145-0083_2.png,NaN,NaN,NaN,NaN,NaN,NaN,34.4,42.8,47,48.8,54.5,31,17.8,101.2,99.2,85.5,89.8,87.6,97.8,103.5,58.3,39.6,91.3,53.3,53.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,female,50,154.5,59,rectangle,2224-0084_2.png,2146-0084_2.png,NaN,NaN,NaN,NaN,NaN,NaN,36,40,45.5,49,51,30,18,96,92,90.5,87,91,98,100,58,35,92,62,54,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,female,38,159.5,53,rectangle,2225-0085_3.png,2147-0085_3.png,NaN,NaN,NaN,NaN,NaN,NaN,32,35,41,50,50.5,30,15,91,87,81,74,81,89,93,56.5,35.5,94.5,65,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,female,43,159.5,58,triangle,2226-0086_2.png,2148-0086_2.png,NaN,NaN,NaN,NaN,NaN,NaN,32,39,41.5,52.5,53,29,17.5,88.5,86.5,85,74,81,93,96,59,37,96,61,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,male,53,168,78.25,NaN,2227-0087_1.png,2149-0087_1.png,NaN,NaN,NaN,NaN,NaN,NaN,39,42,45,49,59,33,18,101,104,NaN,95,100,99,100,54,40,95,67,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,female,28,161,84.75,rectangle,2228-0088_2.png,2150-0088_2.png,NaN,NaN,NaN,NaN,NaN,NaN,38.8,46.5,44,53,54.5,35.3,17.5,112.3,103.8,98,99.8,106.8,115,108,62.8,43,90.5,59,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,female,50,154.5,64.25,triangle,2229-0089_1.png,2151-0089_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36,38,43,51,53,35,19,99,94,89,88.5,92,100,105,58,39,88,60,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,female,47,156,59.05,rectangle,2230-0090_4.png,2152-0090_4.png,NaN,NaN,NaN,NaN,NaN,NaN,34,39,43,43,51,26.5,15,95,92.6,84,83,87.5,90,96,53,37,91,61,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,female,35,159,60.65,rectangle,2231-0091_1.png,2153-0091_1.png,NaN,NaN,NaN,NaN,NaN,NaN,35,39,43,47,52,31.5,19,94,92,96,87,91,97,91,62,37,95,58,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,female,50,157.5,55.1,inverted triangle,2232-0093_3.png,2154-0093_3.png,NaN,NaN,NaN,NaN,NaN,NaN,33,37,42,49,51,27,16,99,95,95,83,85,91,90,52,33.5,95,66,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,female,47,162.5,76.7,rectangle,2233-0094_3.png,2155-0094_3.png,NaN,NaN,NaN,NaN,NaN,NaN,34,37,41,54,54,37,17,103,97,90,89,95,106.5,103,62,39,94,68,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,female,51,160.5,63.9,rectangle,2234-0095_2.png,2156-0095_2.png,NaN,NaN,NaN,NaN,NaN,NaN,36,39,45,55,50,31,18,103,98.5,101,91,96,97,99,56,36,96,61,57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,female,36,156,62.55,rectangle,2235-0096_3.png,2157-0096_3.png,NaN,NaN,NaN,NaN,NaN,NaN,36,41,43.5,51.5,48.5,30,16.5,99,95,95,82.5,89,95,99,61,37,90.5,60,57.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,female,47,159.5,72,rectangle,2236-0097_2.png,2158-0097_2.png,NaN,NaN,NaN,NaN,NaN,NaN,38,40,44,55,53,32,18,105,105,97,95,98,98,101,56,40,93,59,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,female,51,156.5,56.6,triangle,2237-0098_4.png,2159-0098_4.png,NaN,NaN,NaN,NaN,NaN,NaN,33.5,39,44,39,50,28,16,83,81.5,75.5,73,77,89,96,58,37,94,56,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,female,46,166,69.35,rectangle,2238-0099_1.png,2160-0099_1.png,NaN,NaN,NaN,NaN,NaN,NaN,44.3,36.5,43.5,47,55.3,31,16.3,100,98.5,95,89,93.8,101.5,99.4,55.6,38,97,63,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,female,40,167,71.3,rectangle,2239-0100_4.png,001-0100_4.png,NaN,NaN,NaN,NaN,NaN,NaN,36,39,44.5,52,55.5,32,17,103,94,95,84,94,103,104,61,38,98,64,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,female,44,161.5,53.85,triangle,2240-0101_2.png,002-0101_2.png,NaN,NaN,NaN,NaN,NaN,NaN,31,36,45,47,49,29,18,88,85,82,71,84,92,93,53,36,98,62,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,female,45,166.5,56.05,hourglass,2241-0102_2.png,003-0102_2.png,NaN,NaN,NaN,NaN,NaN,NaN,33,39,43,45,52,25,16.5,82,82,80,69.5,79.5,90,95,52,32,98,63,62,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,female,38,166.5,51.65,hourglass,2242-0103_2.png,004-0103_2.png,NaN,NaN,NaN,NaN,NaN,NaN,33,40,44.5,47,51,26,16,86,85.5,80,64,69,82.5,92,54,34.5,98,60,55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,female,49,166,65.6,rectangle,2243-0104_1.jpg,005-0104_1.png,NaN,NaN,NaN,NaN,NaN,NaN,36,39.5,41.5,49,53,28,18.5,98,91.5,95,82.5,90,100,100,59,40,96,63,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,female,44,156.5,58.9,triangle,2244-0105_2.png,006-0105_2.png,NaN,NaN,NaN,NaN,NaN,NaN,35.5,43,43,47,53,30,17.5,89.5,87,88,80,87,97,96.5,62,36.5,97,61,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,female,46,149,42.95,triangle,2245-0106_1.png,007-0106_1.png,NaN,NaN,NaN,NaN,NaN,NaN,30,33,39,42,46,25,14,76,77,70,67,76,84,86,48,34,84,60,63,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
