ID,Gender,Age,Height,Weight,Body Shape,bkgApose,nobkgApose,bkgStandardPose,nobkgStandardPose,bkgTpose,nobkgTpose,bkgFreePose,nobkgFreePose,MidNeckCircumference,NeckCircumference1,ShoulderWidth,SleeveCircumference,ArmLength-1,BicepsCircumference,WristCircumference,BreastCircumference,UpperBreastCircumference,LowerBreastCircumference,WaistCircumference1,AbodomenCircumference,CoxaCircumference,HipCircumference,ThighCircumference,CalfCircumference,LegLength-1,FrontNeck2HipLength-1,BackNeck2HipLength-1,NeckCircumference-2,ArmLength-2,WaistCircumference-2,LegLength-2,FrontNeck2HipLength-2,BackNeck2HipLength-2,HeightOfChest,DistanceOfChest,NapeToWaist,Knee circumference,WidthOfBack,Coxa2HipBottom,UpperHipCircumference
1204,male,33,172,67,NaN,1214-112_1.png,NaN,1214-112_2.png,NaN,NaN,NaN,1214-112_3.jpg,NaN,39,41,45.5,44,53,26,17,94,95.5,NaN,83,89,92,94,52,37,94,68,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1205,female,48,163,58,triangle,1215-113_1.png,NaN,1215-113_2.png,NaN,NaN,NaN,1215-113_3.jpg,NaN,33,40,44.5,40,52,26,16,89,83,83.5,73,92,95.5,96,55,35,93,63,59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23,NaN
1206,male,46,177,84,NaN,1216-114_1.png,NaN,1216-114_2.png,NaN,NaN,NaN,1216-114_3.jpg,NaN,44,46,43,52,57,31,19,106.5,105,NaN,98.5,101,100,104,57,39,96,70,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1207,male,33,169,56,NaN,1217-115_1.png,NaN,1217-115_2.png,NaN,NaN,NaN,1217-115_3.jpg,NaN,37,39,41,41,54,24,16.5,84,86,NaN,74,77,87,91,50,31.5,98,68,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1208,male,34,176,82,NaN,1218-116_1.png,NaN,1218-116_2.png,NaN,NaN,NaN,1218-116_3.jpg,NaN,40,45,50,49,56,31,18,98,100,NaN,90,92,97,102,60,43,101,70,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1209,male,30,182,80,NaN,1219-117_1.png,NaN,1219-117_2.png,NaN,NaN,NaN,1219-117_3.jpg,NaN,39,44,47.5,49,58,29,17.5,98,100,NaN,90,95,98,102,56,43,103,73,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1210,male,30,183,65,NaN,1220-118_1.png,NaN,1220-118_2.png,NaN,NaN,NaN,1220-118_3.jpg,NaN,37,42,42,44,59,25,17,85,88,NaN,71.5,76,88,92,48,35,103,74,69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1211,male,30,170,75,NaN,1221-119_1.png,NaN,1221-119_2.png,NaN,NaN,NaN,1221-119_3.jpg,NaN,42,46,45,48,54,31,18,95,98,NaN,91.5,96,95.5,103,58,40,95,67,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1212,male,33,186,84,NaN,1222-120_1.png,NaN,1222-120_2.png,NaN,NaN,NaN,1222-120_3.jpg,NaN,42,48,47,49,63,30,18,98,100,NaN,89,92,99,104,58,40,108,72,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1213,male,36,172,70,NaN,1223-121_1.png,NaN,1223-121_2.png,NaN,NaN,NaN,1223-121_3.jpg,NaN,36.5,41,40.5,43,52.5,26,17,93,94,NaN,84,89,93,100,52,40,96.5,69,67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1214,male,29,173,59,NaN,1224-122_1.png,NaN,1224-122_2.png,NaN,NaN,NaN,1224-122_3.jpg,NaN,36,41,43,42,56,28,17,88,89,NaN,76,80,88,94,49,33,102,69,64,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1215,male,26,184,88,NaN,1225-123_1.png,NaN,1225-123_2.png,NaN,NaN,NaN,1225-123_3.jpg,NaN,41,44,51,50,61,31,18,106,106.5,NaN,94,101,101,106,58,44.5,105,76,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1216,male,26,170,58,NaN,1226-124_1.png,NaN,1226-124_2.png,NaN,NaN,NaN,1226-124_3.jpg,NaN,35,40,46,42.5,54,24,16.5,84,86.5,NaN,78,81,88,93,53,33,96,66,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1217,male,22,169,58,NaN,1227-125_1.png,NaN,1227-125_2.png,NaN,NaN,NaN,1227-125_3.jpg,NaN,35,39,43,40,53,25,16.5,82.5,84.5,NaN,75,71,85,90,48,36.5,99.5,61,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1218,male,29,185,68,NaN,1228-126_1.png,NaN,1228-126_2.png,NaN,NaN,NaN,1228-126_3.jpg,NaN,38,41,46,44,60,27,17,89,92,NaN,74,76,86,97,53.5,37,107,71,68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1219,male,23,180,65,NaN,1229-127_1.png,NaN,1229-127_2.png,NaN,NaN,NaN,1229-127_3.jpg,NaN,35,38,42,45,56,25,17,85,87,NaN,75,80.5,91.5,98,54,39,102,69,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1220,male,23,176,67.5,NaN,1230-128_1.png,NaN,1230-128_2.png,NaN,NaN,NaN,1230-128_3.jpg,NaN,37,39,44,42.5,54,26,17,89.5,91,NaN,82,88,95,98,NaN,38,102,69,66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
1221,male,29,170,63,NaN,1146-1_1.png,NaN,1146-1_2.png,NaN,1146-1_6.jpg,NaN,1146-1_5.jpg,NaN,38,40,45,46.5,55,30,16,91,92.5,NaN,80,83.5,87,95.5,54,35,99.5,66,61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1222,female,29,160,53,rectangle,1147-2_1.png,NaN,1147-2_2.png,NaN,NaN,NaN,1147-2_3.jpg,NaN,30.5,33.5,40.5,40,53.5,26,14.5,90.5,85,83,74,77,85.5,90,50.4,33.8,98.5,59,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25,NaN
1223,female,31,168,69,rectangle,1148-3_1.png,NaN,1148-3_2.png,NaN,NaN,NaN,1148-3_3.jpg,NaN,35.2,42,44,47,53,27,17.5,100,95,92.5,83,88.5,91,102.5,59,38.4,98.5,67,60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26,NaN
1224,male,27,173,68,NaN,1149-4_1.png,NaN,1149-4_2.png,NaN,NaN,NaN,1149-4_9.jpg,NaN,42,45,45,47,55.5,27,16,92,94,NaN,83.5,88.5,95,99,57.5,37,99,69,65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN
